20250831-120832 Starting training with hyperparameter set 'flappybird1'
20250831-120834 New best reward 12.0 in episode 0
20250831-120834 New best reward 15.0 in episode 1
20250831-120834 New best reward 16.0 in episode 2
20250831-120834 New best reward 36.0 in episode 4
20250831-120834 New best reward 42.0 in episode 6
20250831-120834 New best reward 61.0 in episode 9
20250831-120835 New best reward 65.0 in episode 67
20250831-120835 New best reward 77.0 in episode 93
20250831-120839 New best reward 104.0 in episode 610
20250831-120911 New best reward 105.0 in episode 3867
20250831-120911 New best reward 146.0 in episode 3886
20250831-120913 New best reward 187.0 in episode 4024
20250831-121153 New best reward 189.0 in episode 13016
20250831-121207 New best reward 201.0 in episode 13547
20250831-121219 New best reward 219.0 in episode 13940
20250831-121306 New best reward 256.0 in episode 15341
20250831-121327 New best reward 322.0 in episode 16064
20250831-121359 New best reward 349.0 in episode 16872
20250831-121435 New best reward 437.0 in episode 17471
20250831-121510 New best reward 453.0 in episode 17949
20250831-121513 New best reward 471.0 in episode 17991
20250831-121548 New best reward 487.0 in episode 18616
20250831-121551 New best reward 502.0 in episode 18657
20250831-121557 New best reward 678.0 in episode 18729
20250831-124132 New best reward 704.0 in episode 36372
20250831-124157 New best reward 871.0 in episode 36646
20250831-124809 New best reward 962.0 in episode 39923
20250831-125417 New best reward 1312.0 in episode 45411
20250831-125419 New best reward 1631.0 in episode 45420
20250831-125431 New best reward 2032.0 in episode 45463
20250831-125434 New best reward 2066.0 in episode 45472
20250831-125456 New best reward 15227.0 in episode 45580
20250831-125815 New best reward 66796.0 in episode 46042
20250831-125907 New best reward 79694.0 in episode 46045
20250831-130226 New best reward 100000.0 in episode 46129
20250831-131023 Starting training with hyperparameter set 'flappybird1'
20250831-131025 New best reward -8.7 in episode 0
20250831-131026 New best reward -5.099999999999998 in episode 1
20250831-131029 New best reward -4.499999999999998 in episode 27
20250831-131029 New best reward -3.299999999999998 in episode 28
20250831-131114 New best reward -0.8999999999999986 in episode 422
20250831-132923 New best reward -0.2999999999999985 in episode 8250
20250831-133809 New best reward 0.3000000000000007 in episode 11596
20250831-134728 New best reward 2.0999999999999996 in episode 15055
20250831-141105 New best reward 2.6999999999999993 in episode 24530
20250831-141230 New best reward 2.799999999999999 in episode 25227
20250831-142513 New best reward 2.9999999999999982 in episode 30344
20250831-152821 Starting training with hyperparameter set 'flappybird1'
20250831-152823 New best reward -7.499999999999998 in episode 0
20250831-152824 New best reward -6.899999999999999 in episode 2
20250831-152824 New best reward -6.299999999999999 in episode 3
20250831-152824 New best reward -5.699999999999998 in episode 4
20250831-152828 New best reward -3.899999999999998 in episode 38
20250831-152844 New best reward -3.299999999999998 in episode 190
20250831-152857 New best reward -2.699999999999998 in episode 304
20250831-152858 New best reward -1.4999999999999982 in episode 314
20250831-152933 New best reward -0.8999999999999986 in episode 600
20250831-153142 Starting training with hyperparameter set 'flappybird1'
20250831-153144 New best reward -7.499999999999998 in episode 0
20250831-153144 New best reward -6.299999999999999 in episode 1
20250831-153147 New best reward -5.699999999999998 in episode 27
20250831-153149 New best reward -3.299999999999998 in episode 44
20250831-153206 New best reward -1.4999999999999982 in episode 202
20250831-153332 New best reward -0.8999999999999986 in episode 837
20250831-155055 New best reward -0.29999999999999893 in episode 8059
20250831-160338 New best reward 2.0999999999999996 in episode 13418
20250831-162909 New best reward 2.1999999999999993 in episode 23160
20250831-162945 New best reward 2.3999999999999986 in episode 23378
20250831-163215 New best reward 2.799999999999999 in episode 24338
20250831-173547 New best reward 2.8999999999999986 in episode 50015
20250831-173752 New best reward 4.199999999999996 in episode 50902
